bitcoin
2022-03-21,390.758,399.12199999999996,386.032,396.315
2022-03-20,399.914,400.667,386.59899999999993,390.779
2022-03-19,397.452,406.12,395.25699999999995,399.86499999999995
2022-03-18,391.816,399.944,384.17499999999995,397.515
2022-03-17,385.4119999999999,393.05899999999997,382.022,391.81399999999996
2022-03-16,371.58799999999997,386.432,368.27599999999995,385.491
2022-03-15,373.449,374.4409999999999,362.38599999999997,371.65099999999995
2022-03-14,361.70099999999996,373.697,360.05999999999995,373.449
2022-03-13,372.54699999999997,377.01099999999997,360.835,361.715
2022-03-12,372.10299999999995,379.2,371.82099999999997,372.631
2022-03-11,372.16999999999996,379.69899999999996,365.337,372.096
2022-03-10,393.39599999999996,394.42999999999995,363.763,372.11199999999997
2022-03-09,381.84799999999996,402.23099999999994,381.58799999999997,393.45199999999994
2022-03-08,381.055,387.9509999999999,376.98699999999997,381.7919999999999
2022-03-07,375.049,384.864,363.94100000000003,381.118
2022-03-06,384.877,387.202,372.594,375.007
2022-03-05,374.338,386.97799999999995,367.88599999999997,384.81899999999996
2022-03-04,402.586,403.094,372.60900000000004,374.256
2022-03-03,409.111,412.91999999999996,397.75699999999995,402.56499999999994
2022-03-02,408.57399999999996,415.147,404.3109999999999,409.0899999999999
2022-03-01,395.64399999999995,420.41299999999995,391.051,408.54599999999994
2022-02-28,360.296,396.682,356.37399999999997,395.60699999999997
2022-02-27,373.63,381.032,359.171,360.40099999999995
2022-02-26,374.923,385.477,371.186,373.658
2022-02-25,361.214,376.91999999999996,357.199,374.937
2022-02-24,366.125,369.109,324.186,361.221
2022-02-23,374.3,383.53499999999997,366.168,366.258
2022-02-22,356.721,375.022,349.715,374.307
2022-02-21,380.72799999999995,393.644,355.826,356.642
2022-02-20,399.94,400.09099999999995,375.707,380.76099999999997
2022-02-19,399.424,406.38599999999997,393.65099999999995,399.968
2022-02-18,402.57499999999993,410.95799999999997,393.33399999999995,399.45899999999995
2022-02-17,427.47499999999997,431.044,400.567,402.43499999999995
2022-02-16,432.46299999999997,433.451,422.8159999999999,427.734
2022-02-15,403.582,438.275,402.97299999999996,432.40700000000004
2022-02-14,398.4479999999999,404.101,391.14599999999996,403.582
2022-02-13,403.36899999999997,407.0369999999999,395.37199999999996,398.59299999999996
2022-02-12,400.34999999999997,407.128,394.35,403.453
2022-02-11,415.043,419.173,392.936,400.294
2022-02-10,422.62699999999995,434.389,410.875,414.994
2022-02-09,408.33399999999995,427.48299999999995,407.695,422.599
2022-02-08,433.472,444.62299999999993,406.87199999999996,408.486
2022-02-07,419.739,438.74799999999993,413.965,433.3109999999999
2022-02-06,414.094,421.527,408.12699999999995,419.655
2022-02-05,399.28499999999997,430.54499999999996,396.741,414.04999999999995
2022-02-04,371.1569999999999,399.36400000000003,369.72399999999993,399.17099999999994
2022-02-03,367.289,371.33599999999996,360.223,371.306
2022-02-02,385.073,386.10699999999997,366.65999999999997,367.299
2022-02-01,374.89,387.95899999999995,374.14099999999996,385.08199999999994
2022-01-31,377.515,385.106,365.837,374.986
2022-01-30,389.26,389.35499999999996,372.788,377.48699999999997
2022-01-29,386.01899999999995,396.929,381.38599999999997,389.1809999999999
2022-01-28,389.96999999999997,394.13599999999997,376.465,386.02599999999995
2022-01-27,375.408,392.4,360.231,390.03299999999996
2022-01-26,384.74299999999994,400.82499999999993,367.226,375.562
2022-01-25,371.33299999999997,387.876,357.876,384.764
2022-01-24,384.02799999999996,384.02799999999996,337.295,371.349
2022-01-23,358.32099999999997,388.71299999999997,356.909,383.92099999999994
2022-01-22,383.569,389.117,338.925,358.15999999999997
2022-01-21,440.109,444.306,375.849,383.31899999999996
2022-01-20,462.572,478.4549999999999,439.44599999999997,440.06699999999995
2022-01-19,471.794,472.86899999999997,454.442,462.544
2022-01-18,475.548,479.642,457.865,471.827
2022-01-17,498.53700000000003,498.98799999999994,468.07599999999996,475.55699999999996
2022-01-16,494.794,505.51,489.23,498.481
2022-01-15,489.914,501.18699999999995,485.917,494.84299999999996
2022-01-14,475.121,491.852,468.538,489.909
2022-01-13,487.26800000000003,488.68699999999995,467.46599999999995,475.08099999999996
2022-01-12,463.572,489.501,456.96399999999994,487.24699999999996
2022-01-11,424.86299999999994,467.40599999999995,421.78999999999996,463.544
2022-01-10,438.793,445.178,407.77,424.861
2022-01-09,430.11499999999995,444.49299999999994,427.86799999999994,438.77
2022-01-08,447.932,458.846,417.94,430.145
2022-01-07,472.88,474.17999999999995,438.73199999999997,447.883
2022-01-06,474.816,481.13199999999995,459.81499999999994,473.0759999999999
2022-01-05,507.39,515.468,460.54200000000003,474.77199999999993
2022-01-04,512.0609999999999,519.79,502.85400000000004,507.32699999999994
2022-01-03,531.2729999999999,532.31,510.455,512.068
2022-01-02,527.323,533.529,518.525,531.28
2022-01-01,511.787,527.515,511.75,527.3349999999999
2021-12-31,518.9639999999999,527.88,507.323,511.61699999999996
2021-12-30,514.549,527.639,508.78999999999996,518.7869999999999
